answer	length	kind	pos	clue	selfref	display	lexname	synset
CHANGTZU	8	name	noun	a mountain in the central Himalayas on the border of Tibet and Nepal (24,780 feet high)	0	Changtzu	noun.object	09263953-n
CHANNEL	7	common	noun	a way of selling a company's product either directly or via distributors	0	channel	noun.act	01115705-n
CHANNEL	7	common	verb	send from one person or place to another	0	channel	verb.contact	01438013-v
CHANNEL	7	common	verb	direct the flow of	0	channel	verb.motion	01937871-v
CHANNEL	7	common	verb	transmit or serve as the medium for transmission	0	channel	verb.motion	02084180-v
CHANNEL	7	common	noun	a passage for water (or other fluids) to flow through	0	channel	noun.artifact	03009709-n
CHANNEL	7	common	noun	a television station and its programs	0	channel	noun.artifact	03010002-n
CHANNEL	7	common	noun	a bodily passage or tube lined with epithelial cells and conveying a secretion or other substance	0	channel	noun.body	05258141-n
CHANNEL	7	common	noun	a path over which electrical signals can pass	0	channel	noun.communication	06270551-n
CHANNEL	7	common	noun	(often plural) a means of communication or access	0	channel	noun.communication	06270774-n
CHANNELBASS	11	common	noun	large edible fish found off coast of United States from Massachusetts to Mexico	0	channel bass	noun.animal	02598332-n
CHANNELCAPACITY	15	common	noun	the maximum data rate that can be attained over a given channel	1	channel capacity	noun.time	15312309-n
CHANNELCAT	10	common	noun	freshwater food fish common throughout central United States	0	channel cat	noun.animal	02522317-n
CHANNELCATFISH	14	common	noun	freshwater food fish common throughout central United States	0	channel catfish	noun.animal	02522317-n
CHANNELISATION	14	common	noun	management through specified channels of communication	0	channelisation	noun.act	01144840-n
CHANNELISE	10	common	verb	cause to form a channel	0	channelise	verb.contact	01371724-v
CHANNELISE	10	common	verb	send from one person or place to another	0	channelise	verb.contact	01438013-v
CHANNELISE	10	common	verb	make a channel for; provide with a channel	0	channelise	verb.creation	01760865-v
CHANNELISE	10	common	verb	direct the course; determine the direction of travelling	0	channelise	verb.motion	01935739-v
CHANNELISLAND	13	name	noun	any of a group of British islands in the English Channel off the northern coast of France	1	Channel Island	noun.location	08907240-n
CHANNELIZATION	14	common	noun	management through specified channels of communication	0	channelization	noun.act	01144840-n
CHANNELIZE	10	common	verb	cause to form a channel	0	channelize	verb.contact	01371724-v
CHANNELIZE	10	common	verb	send from one person or place to another	0	channelize	verb.contact	01438013-v
CHANNELIZE	10	common	verb	make a channel for; provide with a channel	0	channelize	verb.creation	01760865-v
CHANNELIZE	10	common	verb	direct the course; determine the direction of travelling	0	channelize	verb.motion	01935739-v
CHANNELS	8	common	noun	official routes of communication	0	channels	noun.communication	06272117-n
CHANNELSURF	11	common	verb	switch channels, on television	1	channel-surf	verb.change	00552688-v
CHANNELTUNNEL	13	name	noun	the railroad tunnel between France and England under the English Channel	1	Channel Tunnel	noun.artifact	03031618-n
CHANNIDAE	9	name	noun	snakeheads	0	Channidae	noun.animal	02516829-n
CHANNUKAH	9	common	noun	(Judaism) an eight-day Jewish holiday commemorating the rededication of the Temple of Jerusalem in 165 BC	0	Channukah	noun.time	15223868-n
CHANNUKKAH	10	common	noun	(Judaism) an eight-day Jewish holiday commemorating the rededication of the Temple of Jerusalem in 165 BC	0	Channukkah	noun.time	15223868-n
CHANOYU	7	common	noun	an ancient ritual for preparing and serving and drinking tea	0	chanoyu	noun.act	01029173-n
CHANSONDEGESTE	14	common	noun	Old French epic poems	0	chanson de geste	noun.communication	06394129-n
CHANT	5	common	verb	recite with musical intonation; recite as a chant or a psalm	1	chant	verb.communication	01051609-v
CHANT	5	common	verb	utter monotonously and repetitively and rhythmically	0	chant	verb.communication	01068797-v
CHANT	5	common	noun	a repetitive song in which as many syllables as necessary are assigned to a single tone	0	chant	noun.communication	07048121-n
CHANTARELLE	11	common	noun	widely distributed edible mushroom rich yellow in color with a smooth cap and a pleasant apricot aroma	0	chantarelle	noun.plant	13025183-n
CHANTED	7	common	adj	sung or uttered rhythmically in a monotone	0	chanted	adj.all	01508605-s
CHANTER	7	common	noun	reed pipe with finger holes on which the melody is played	0	chanter	noun.artifact	03010230-n
CHANTERELLE	11	common	noun	widely distributed edible mushroom rich yellow in color with a smooth cap and a pleasant apricot aroma	0	chanterelle	noun.plant	13025183-n
CHANTEY	7	common	noun	a rhythmical work song originally sung by sailors	0	chantey	noun.communication	07064082-n
CHANTING	8	common	noun	the act of singing in a monotonous tone	0	chanting	noun.act	01257272-n
CHANTLIKE	9	common	adj	uttered in a monotonous cadence or rhythm as in chanting	0	chantlike	adj.all	02027822-s
CHANTNOTATION	13	common	noun	musical notation for Gregorian chant, traditionally written using neumes.	1	chant notation	noun.communication	92422257-n
CHANTRY	7	common	noun	a chapel endowed for singing Masses for the soul of the donor	0	chantry	noun.artifact	03010392-n
CHANTRY	7	common	noun	an endowment for the singing of Masses	0	chantry	noun.possession	13292728-n
CHANTY	6	common	noun	a rhythmical work song originally sung by sailors	0	chanty	noun.communication	07064082-n
CHANUKAH	8	common	noun	(Judaism) an eight-day Jewish holiday commemorating the rededication of the Temple of Jerusalem in 165 BC	0	Chanukah	noun.time	15223868-n
CHANUKKAH	9	common	noun	(Judaism) an eight-day Jewish holiday commemorating the rededication of the Temple of Jerusalem in 165 BC	0	Chanukkah	noun.time	15223868-n
CHAOS	5	common	noun	(physics) a dynamical system that is extremely sensitive to its initial conditions	0	chaos	noun.cognition	06256659-n
CHAOS	5	common	noun	the formless and disordered state of matter before the creation of the cosmos	0	chaos	noun.phenomenon	11455013-n
CHAOS	5	common	noun	a state of extreme confusion and disorder	0	chaos	noun.state	13999769-n
CHAOTIC	7	common	adj	lacking a visible order or organization	0	chaotic	adj.all	01673760-s
CHAOTIC	7	common	adj	completely unordered and unpredictable and confusing	0	chaotic	adj.all	02399137-s
CHAOTIC	7	common	adj	of or relating to a sensitive dependence on initial conditions	0	chaotic	adj.pert	02701974-a
CHAOTICALLY	11	common	adv	in a manner suggestive of chaos	0	chaotically	adv.all	00285042-r
CHAOTICALLY	11	common	adv	in a wild and confused manner	0	chaotically	adv.all	00285172-r
CHAOTICATTRACTOR	16	common	noun	an attractor for which the approach to its final point in phase space is chaotic	1	chaotic attractor	noun.cognition	05875073-n
CHAP	4	common	verb	crack due to dehydration	0	chap	verb.change	00338238-v
CHAP	4	common	noun	a crack in a lip caused usually by cold	0	chap	noun.object	09264835-n
CHAP	4	common	noun	a boy or man	0	chap	noun.person	09927483-n
CHAP	4	common	noun	a long narrow depression in a surface	0	chap	noun.shape	13930286-n
CHAPARRAL	9	common	noun	dense vegetation consisting of stunted trees or bushes	0	chaparral	noun.group	08455215-n
CHAPARRALBROOM	14	common	noun	widely spreading evergreen shrub of southwestern United States with flower heads in a leafy panicle	0	chaparral broom	noun.plant	11959201-n
CHAPARRALCOCK	13	common	noun	speedy largely terrestrial bird found from California and Mexico to Texas	0	chaparral cock	noun.animal	01826676-n
CHAPARRALSAGE	13	common	noun	silvery-leaved California herb with purple flowers	0	chaparral sage	noun.plant	12886322-n
CHAPATI	7	common	noun	flat pancake-like bread cooked on a griddle	0	chapati	noun.food	07699235-n
CHAPATTI	8	common	noun	flat pancake-like bread cooked on a griddle	0	chapatti	noun.food	07699235-n
CHAPEAU	7	common	noun	headdress that protects the head from bad weather; has shaped crown and usually a brim	0	chapeau	noun.artifact	03502782-n
CHAPEL	6	common	noun	a service conducted in a place of worship that has its own altar	0	chapel	noun.act	01035056-n
CHAPEL	6	common	noun	a place of worship that has its own altar	0	chapel	noun.artifact	03010734-n
CHAPELGOER	10	common	noun	a Protestant in England who is not a member of the Church of England	0	chapelgoer	noun.person	09977612-n
CHAPELHILL	10	name	noun	a town in central North Carolina; site of the University of North Carolina	0	Chapel Hill	noun.location	09150874-n
CHAPELSERVICE	13	common	noun	a service conducted in a place of worship that has its own altar	1	chapel service	noun.act	01035056-n
CHAPERON	8	common	verb	accompany as a chaperone	0	chaperon	verb.motion	02030558-v
CHAPERON	8	common	noun	one who accompanies and supervises a young woman or gatherings of young people	0	chaperon	noun.person	09927731-n
CHAPERONE	9	common	verb	accompany as a chaperone	1	chaperone	verb.motion	02030558-v
CHAPERONE	9	common	noun	one who accompanies and supervises a young woman or gatherings of young people	0	chaperone	noun.person	09927731-n
CHAPFALLEN	10	common	adj	brought low in spirit	0	chapfallen	adj.all	00706899-s
CHAPITER	8	common	noun	the upper part of a column that supports the entablature	0	chapiter	noun.artifact	02959683-n
CHAPLAIN	8	common	noun	a clergyman ministering to some institution	0	chaplain	noun.person	09927966-n
CHAPLAINCY	10	common	noun	the position of chaplain	0	chaplaincy	noun.act	00591384-n
CHAPLAINSHIP	12	common	noun	the position of chaplain	0	chaplainship	noun.act	00591384-n
CHAPLET	7	common	noun	flower arrangement consisting of a circular band of foliage or flowers for ornamental purposes	0	chaplet	noun.artifact	04613372-n
CHAPLETED	9	common	adj	provided with a chaplet	1	chapleted	adj.all	00657338-s
CHAPLIN	7	name	noun	English comedian and film maker; portrayed a downtrodden little man in baggy pants and bowler hat (1889-1977)	0	Chaplin	noun.person	10910389-n
CHAPMAN	7	common	noun	a male itinerant peddler	0	chapman	noun.person	09928136-n
CHAPMAN	7	name	noun	United States pioneer who planted apple trees as he traveled (1774-1845)	0	Chapman	noun.person	10910620-n
CHAPPED	7	common	adj	used of skin roughened as a result of cold or exposure	0	chapped	adj.all	02247873-s
CHAPTER	7	common	noun	a subdivision of a written work; usually numbered and titled	0	chapter	noun.communication	06407785-n
CHAPTER	7	common	noun	a series of related events forming an episode	0	chapter	noun.event	07321790-n
CHAPTER	7	common	noun	a local branch of some fraternity or association	0	chapter	noun.group	08245586-n
CHAPTER	7	common	noun	an ecclesiastical assembly of the monks in a monastery or even of the canons of a church	0	chapter	noun.group	08245759-n
CHAPTER	7	common	noun	any distinct period in history or in a person's life	0	chapter	noun.time	15277718-n
CHAPTERHOUSE	12	common	noun	a house used as a residence by a chapter of a fraternity	0	chapterhouse	noun.artifact	03010901-n
CHAPTERHOUSE	12	common	noun	a building attached to a monastery or cathedral; used as a meeting place for the chapter	0	chapterhouse	noun.artifact	03011048-n
CHAPWOMAN	9	common	noun	a female itinerant peddler	0	chapwoman	noun.person	88550671-n
CHAR	4	common	verb	burn slightly and superficially so as to affect color	0	char	verb.change	00380111-v
CHAR	4	common	noun	any of several small trout-like fish of the genus Salvelinus	0	char	noun.animal	02541037-n
CHAR	4	common	verb	burn to charcoal	0	char	verb.weather	02777955-v
CHAR	4	common	noun	a human female employed to do housework	0	char	noun.person	09930684-n
CHAR	4	common	noun	a charred substance	0	char	noun.substance	14709333-n
CHARA	5	name	noun	green algae common in freshwater lakes of limestone districts	0	Chara	noun.animal	01415566-n
CHARABANC	9	common	noun	a vehicle carrying many passengers; used for public transport	0	charabanc	noun.artifact	02927500-n
CHARACEAE	9	name	noun	green algae superficially resembling horsetail ferns: stoneworts	0	Characeae	noun.animal	01415120-n
CHARACID	8	common	noun	any freshwater fish of the family Characinidae	0	characid	noun.animal	02586198-n
CHARACIDAE	10	name	noun	tropical freshwater fishes of Africa and South America and Central America	0	Characidae	noun.animal	02585842-n
CHARACIN	8	common	noun	any freshwater fish of the family Characinidae	0	characin	noun.animal	02586198-n
CHARACINFISH	12	common	noun	any freshwater fish of the family Characinidae	1	characin fish	noun.animal	02586198-n
CHARACINIDAE	12	name	noun	former name of the Characidae	0	Characinidae	noun.animal	02586088-n
CHARACTER	9	common	verb	engrave or inscribe characters on	1	character	verb.contact	01325055-v
CHARACTER	9	common	noun	(genetics) an attribute (structural or functional) that is determined by a gene or group of genes	0	character	noun.attribute	04624273-n
CHARACTER	9	common	noun	the inherent complex of attributes that determines a persons moral and ethical actions and reactions	0	character	noun.attribute	04627573-n
CHARACTER	9	common	noun	a characteristic property that defines the apparent individual nature of something	0	character	noun.cognition	05857811-n
CHARACTER	9	common	noun	an actor's portrayal of someone in a play	0	character	noun.cognition	05937794-n
CHARACTER	9	common	noun	a written symbol that is used to represent speech	0	character	noun.communication	06831828-n
CHARACTER	9	common	noun	an imaginary person represented in a work of fiction (play or film or story)	0	character	noun.person	09610740-n
CHARACTER	9	common	noun	a person of a specified kind (usually with many eccentricities)	0	character	noun.person	09928518-n
CHARACTER	9	common	noun	good repute	0	character	noun.state	14462159-n
CHARACTERACTOR	14	common	noun	an actor who specializes in playing supporting roles	1	character actor	noun.person	09928821-n
CHARACTERASSASSINATION	22	common	noun	an attack intended to ruin someone's reputation	0	character assassination	noun.communication	06732723-n
CHARACTERATATIMEPRINTER	23	common	noun	a printer that prints a single character at a time	1	character-at-a-time printer	noun.artifact	03011195-n
CHARACTERISATION	16	common	noun	the act of describing distinctive characteristics or essential features	0	characterisation	noun.communication	07216222-n
CHARACTERISATION	16	common	noun	a graphic or vivid verbal description	0	characterisation	noun.communication	07216464-n
CHARACTERISE	12	common	verb	describe or portray the character or the qualities or peculiarities of	0	characterise	verb.communication	00958719-v
CHARACTERISE	12	common	verb	be characteristic of	0	characterise	verb.stative	02703792-v
CHARACTERISTIC	14	common	adj	typical or distinctive	0	characteristic	adj.all	00358006-a
CHARACTERISTIC	14	common	noun	a distinguishing quality; a feature that can be used to identify something	0	characteristic	noun.attribute	04738737-n
CHARACTERISTIC	14	common	noun	any measurable property of a device measured under closely specified conditions	0	characteristic	noun.attribute	04925047-n
CHARACTERISTIC	14	common	noun	a prominent attribute or aspect of something	0	characteristic	noun.cognition	05858316-n
CHARACTERISTICALLY	18	common	adv	in characteristic manner	0	characteristically	adv.all	00249046-r
CHARACTERISTICCURVE	19	common	noun	(electronics) graph showing how a particular characteristic of a device varies with other parameters	1	characteristic curve	noun.communication	07013853-n
CHARACTERISTICFUNCTION	22	common	noun	(electronics) graph showing how a particular characteristic of a device varies with other parameters	1	characteristic function	noun.communication	07013853-n
CHARACTERISTICNESS	18	common	noun	The quality or state of being a distinguishing feature of a person or thing.	0	characteristicness	noun.attribute	92427412-n
CHARACTERIZATION	16	common	noun	the act of describing distinctive characteristics or essential features	0	characterization	noun.communication	07216222-n
CHARACTERIZATION	16	common	noun	a graphic or vivid verbal description	0	characterization	noun.communication	07216464-n
CHARACTERIZE	12	common	verb	describe or portray the character or the qualities or peculiarities of	0	characterize	verb.communication	00958719-v
CHARACTERIZE	12	common	verb	be characteristic of	0	characterize	verb.stative	02703792-v
CHARACTERLESS	13	common	adj	lacking distinct or individual characteristics; dull and uninteresting	0	characterless	adj.all	01678145-s
CHARACTERPRINTER	16	common	noun	a printer that prints a single character at a time	1	character printer	noun.artifact	03011195-n
CHARACTERSET	12	common	noun	an ordered list of characters that are used together in writing or printing	1	character set	noun.communication	06500717-n
CHARADE	7	common	noun	making a false outward show	0	charade	noun.act	00757537-n
CHARADE	7	common	noun	a word acted out in an episode of the game of charades	0	charade	noun.communication	06299727-n
CHARADES	8	common	noun	guessing game in which one player pantomimes a word or phrase for others to guess	0	charades	noun.act	00460751-n
CHARADRII	9	name	noun	shorebirds: plovers, sandpipers, avocets, phalaropes, coursers, stone curlews	0	Charadrii	noun.animal	02024789-n
CHARADRIIDAE	12	name	noun	plover family	0	Charadriidae	noun.animal	02025787-n
CHARADRIUS	10	name	noun	type genus of the Charadriidae: plovers	0	Charadrius	noun.animal	02026318-n
CHARADRIUSMELODUS	17	common	noun	small plover of eastern North America	0	Charadrius melodus	noun.animal	02026509-n
CHARADRIUSMORINELLUS	20	common	noun	rare plover of upland areas of Eurasia	0	Charadrius morinellus	noun.animal	02026839-n
CHARADRIUSVOCIFERUS	19	common	noun	American plover of inland waters and fields having a distinctive cry	0	Charadrius vociferus	noun.animal	02026646-n
CHARALES	8	name	noun	small order of macroscopic fresh and brackish water algae with a distinct axis: stoneworts	0	Charales	noun.animal	01414920-n
CHARCOAL	8	common	adj	of a very dark grey	0	charcoal	adj.all	00389786-s
CHARCOAL	8	common	verb	draw, trace, or represent with charcoal	1	charcoal	verb.creation	01697033-v
CHARCOAL	8	common	noun	a stick of black carbon material used for drawing	0	charcoal	noun.artifact	03011428-n
CHARCOAL	8	common	noun	a drawing made with a stick of black carbon material	0	charcoal	noun.artifact	03011559-n
CHARCOAL	8	common	noun	a very dark grey color	0	charcoal	noun.attribute	04969417-n
CHARCOAL	8	common	noun	a carbonaceous material obtained by heating wood or other organic matter in the absence of air	0	charcoal	noun.substance	14709457-n
CHARCOALBURNER	14	common	noun	a stove that burns charcoal as fuel	1	charcoal burner	noun.artifact	03011684-n
CHARCOALBURNER	14	common	noun	a worker whose job is to make charcoal	1	charcoal burner	noun.person	09929118-n
CHARCOALGRAY	12	common	adj	of a very dark grey	0	charcoal-gray	adj.all	00389786-s
CHARCOALGRAY	12	common	noun	a very dark grey color	0	charcoal gray	noun.attribute	04969417-n
CHARCOALGREY	12	common	adj	of a very dark grey	1	charcoal-grey	adj.all	00389786-s
CHARCOALGREY	12	common	noun	a very dark grey color	1	charcoal grey	noun.attribute	04969417-n
CHARCOALPILE	12	common	noun	a pile of wooden billets, covered with turf or moistened clay, used to produce wood charcoal.	1	charcoal pile	noun.group	92408864-n
CHARCOT	7	name	noun	French neurologist who tried to use hypnotism to cure hysteria (1825-1893)	0	Charcot	noun.person	10911582-n
CHARCUTERIE	11	common	noun	a delicatessen that specializes in meats	0	charcuterie	noun.artifact	03011781-n
CHARD	5	common	noun	long succulent whitish stalks with large green leaves	0	chard	noun.food	07736022-n
CHARD	5	common	noun	beet lacking swollen root; grown as a vegetable for its edible leaves and stalks	0	chard	noun.plant	11853140-n
CHARDONNAY	10	common	noun	dry white table wine resembling Chablis but made from Chardonnay grapes	1	Chardonnay	noun.food	07910774-n
CHARDONNAY	10	common	noun	white wine grape	0	Chardonnay	noun.plant	13166701-n
CHARDONNAYGRAPE	15	common	noun	white wine grape	1	chardonnay grape	noun.plant	13166701-n
CHARDPLANT	10	common	noun	beet lacking swollen root; grown as a vegetable for its edible leaves and stalks	0	chard plant	noun.plant	11853140-n
CHARDSOUP	9	common	noun	a soup made from chard.	1	chard soup	noun.food	92415441-n
CHARGE	6	common	verb	saturate	0	charge	verb.change	00499097-v
CHARGE	6	common	verb	energize a battery by passing a current through it in the direction opposite to discharge	0	charge	verb.change	00518927-v
CHARGE	6	common	verb	cause formation of a net electrical charge in or on	1	charge	verb.change	00519195-v
CHARGE	6	common	verb	set or ask for a certain price	0	charge	verb.cognition	00702283-v
CHARGE	6	common	verb	attribute responsibility to	0	charge	verb.cognition	00729953-v
CHARGE	6	common	noun	a special assignment that is given to a person or group	0	charge	noun.act	00732520-n
CHARGE	6	common	verb	instruct or command with authority	0	charge	verb.communication	00752178-v
CHARGE	6	common	verb	instruct (a jury) about the law, its application, and the weighing of evidence	0	charge	verb.communication	00752351-v
CHARGE	6	common	verb	impose a task upon, assign a responsibility to	0	charge	verb.communication	00752538-v
CHARGE	6	common	noun	attention and management implying responsibility for safety	0	charge	noun.act	00831039-n
CHARGE	6	common	verb	blame for, make a claim of wrongdoing or misbehavior against	0	charge	verb.communication	00845147-v
CHARGE	6	common	verb	make an accusatory claim	0	charge	verb.communication	00845638-v
CHARGE	6	common	verb	file a formal charge against	1	charge	verb.communication	00871595-v
CHARGE	6	common	noun	an impetuous rush toward someone or something	0	charge	noun.act	00976848-n
CHARGE	6	common	verb	to make a rush at or sudden attack upon, as in battle	0	charge	verb.competition	01124145-v
CHARGE	6	common	verb	direct into a position for use	0	charge	verb.competition	01154680-v
CHARGE	6	common	verb	fill or load to capacity	0	charge	verb.contact	01491585-v
CHARGE	6	common	verb	provide (a device) with something necessary	0	charge	verb.contact	01492993-v
CHARGE	6	common	verb	place a heraldic bearing on	0	charge	verb.creation	01689855-v
CHARGE	6	common	verb	cause to be agitated, excited, or roused	0	charge	verb.emotion	01766380-v
CHARGE	6	common	verb	lie down on command, of hunting dogs	0	charge	verb.motion	01989438-v
CHARGE	6	common	verb	move quickly and violently	0	charge	verb.motion	02059191-v
CHARGE	6	common	verb	pay with a credit card; pay with plastic money; postpone payment by recording a purchase as a debt	0	charge	verb.possession	02322269-v
CHARGE	6	common	verb	demand payment	0	charge	verb.possession	02325354-v
CHARGE	6	common	verb	enter a certain amount as a charge	1	charge	verb.possession	02326026-v
CHARGE	6	common	verb	give over to another for care or safekeeping	0	charge	verb.possession	02352633-v
CHARGE	6	common	verb	cause to be admitted; of persons to an institution	0	charge	verb.possession	02353564-v
CHARGE	6	common	verb	assign a duty, responsibility or obligation to	0	charge	verb.social	02481345-v
CHARGE	6	common	noun	a quantity of explosive to be set off at one time	0	charge	noun.artifact	03011879-n
CHARGE	6	common	noun	heraldry consisting of a design or image depicted on a shield	0	charge	noun.artifact	03012169-n
CHARGE	6	common	noun	(criminal law) a pleading describing some wrong or offense	0	charge	noun.communication	06573933-n
CHARGE	6	common	noun	an assertion that someone is guilty of a fault or offence	0	charge	noun.communication	06743529-n
CHARGE	6	common	noun	a formal statement of a command or injunction to do something	0	charge	noun.communication	07184131-n
CHARGE	6	common	noun	request for payment of a debt	0	charge	noun.communication	07205601-n
CHARGE	6	common	noun	the swift release of a store of affective force	0	charge	noun.feeling	07543858-n
CHARGE	6	common	noun	(psychoanalysis) the libidinal energy invested in some idea or person or object	0	charge	noun.motive	09208509-n
CHARGE	6	common	noun	a person committed to your care	0	charge	noun.person	09929218-n
CHARGE	6	common	noun	the price charged for some article or service	0	charge	noun.possession	13327892-n
CHARGE	6	common	noun	financial liabilities (such as a tax)	0	charge	noun.possession	13421971-n
CHARGEABLE	10	common	adj	liable to be accused, or cause for such liability	0	chargeable	adj.all	01324996-s
CHARGEABLE	10	common	adj	capable of being charged	0	chargeable	adj.all	90000780-s
CHARGEACCOUNT	13	common	noun	credit extended by a business to a customer	0	charge account	noun.possession	13396777-n
CHARGEACCOUNTCREDIT	19	common	noun	a consumer credit line that can be used up to a certain limit or paid down at any time	1	charge account credit	noun.possession	13396496-n
CHARGED	7	common	adj	of a particle or body or system; having a net amount of positive or negative electric charge	0	charged	adj.all	00359212-a
CHARGED	7	common	adj	fraught with great emotion	0	charged	adj.all	00858176-s
CHARGED	7	common	adj	capable of producing violent emotion or arousing controversy	0	charged	adj.all	01903291-s
CHARGED	7	common	adj	supplied with carbon dioxide	0	charged	adj.all	02284409-s
CHARGEDAFFAIRES	15	common	noun	the official temporarily in charge of a diplomatic mission in the absence of the ambassador	1	charge d'affaires	noun.person	09929387-n
CHARGEEXCHANGEACCELERATOR	25	common	noun	an accelerator in which high-energy ions escape from plasma following charge exchange	1	charge-exchange accelerator	noun.artifact	03012439-n
CHARGEMAN	9	common	noun	a male workman employed to blast with explosives	0	chargeman	noun.person	89710487-n
CHARGEOFQUARTERS	16	common	noun	an enlisted man who handles his unit's administrative matters after hours	0	charge of quarters	noun.person	09929542-n
CHARGEPERUNIT	13	common	noun	amount of a charge or payment relative to some basis	1	charge per unit	noun.possession	13346032-n
CHARGER	7	common	noun	formerly a strong swift horse ridden into battle	0	charger	noun.animal	02381277-n
CHARGER	7	common	noun	a device that can hold a rechargeable battery by means of an electrical cable	0	charger	noun.artifact	03012598-n
CHARGESHEET	11	common	noun	the daily written record of events (as arrests) in a police station	0	charge sheet	noun.communication	06514849-n
CHARGEUP	8	common	verb	cause to be agitated, excited, or roused	0	charge up	verb.emotion	01766380-v
CHARGEWOMAN	11	common	noun	a female workman employed to blast with explosives	0	chargewoman	noun.person	87259028-n
CHARI	5	name	noun	an African river that flows northwest into Lake Chad	0	Chari	noun.object	09454313-n
CHARILY	7	common	adv	with great caution; warily	0	charily	adv.all	00283793-r
CHARINA	7	name	noun	a genus of boas of western North America containing the rosy boas or rubber boas (Charina)	1	Charina	noun.animal	01744951-n
CHARINESS	9	common	noun	the trait of being cautious and watchful	0	chariness	noun.attribute	04671770-n
CHARINILE	9	common	noun	a group of Nilo-Saharan language spoken in parts of the Sudan and Zaire and Uganda and Tanzania	0	Chari-Nile	noun.communication	07010598-n
CHARIOT	7	common	verb	ride in a chariot	1	chariot	verb.motion	01910680-v
CHARIOT	7	common	verb	transport in a chariot	1	chariot	verb.motion	01953676-v
CHARIOT	7	common	noun	a light four-wheel horse-drawn ceremonial carriage	0	chariot	noun.artifact	03012765-n
CHARIOT	7	common	noun	a two-wheeled horse-drawn battle vehicle; used in war and races in ancient Egypt and Greece and Rome	0	chariot	noun.artifact	03012923-n
CHARIOTEER	10	name	noun	a conspicuous constellation in the Northern Hemisphere; between Great Bear and Orion at edge of Milky Way	0	Charioteer	noun.object	09233963-n
CHARIOTEER	10	common	noun	the driver of a chariot	0	charioteer	noun.person	09929680-n
CHARIOTRACE	11	common	noun	a race between ancient chariots	1	chariot race	noun.event	07474735-n
CHARIRIVER	10	name	noun	an African river that flows northwest into Lake Chad	1	Chari River	noun.object	09454313-n
CHARISMA	8	common	noun	a personal attractiveness or interestingness that enables you to influence others	0	charisma	noun.attribute	04693886-n
CHARISMATIC	11	common	adj	possessing an extraordinary ability to attract	0	charismatic	adj.all	00168339-s
CHARITABLE	10	common	adj	full of love and generosity	0	charitable	adj.all	00360539-a
CHARITABLE	10	common	adj	showing or motivated by sympathy and understanding and generosity	0	charitable	adj.all	01375875-s
CHARITABLE	10	common	adj	relating to or characterized by charity	0	charitable	adj.pert	02702127-a
CHARITABLENESS	14	common	noun	generosity as manifested by practicing charity (as for the poor or unfortunate)	0	charitableness	noun.attribute	04839281-n
CHARITABLETRUST	15	common	noun	a trust created for charitable or religious or educational or scientific purposes	1	charitable trust	noun.possession	13382638-n
CHARITABLY	10	common	adv	in a charitable manner	0	charitably	adv.all	00207026-r
CHARITY	7	common	noun	an activity or gift that benefits the public at large	0	charity	noun.act	01091559-n
CHARITY	7	common	noun	a kindly and lenient attitude toward people	0	charity	noun.attribute	04847636-n
CHARITY	7	common	noun	an institution set up to provide help to the needy	0	charity	noun.group	08072576-n
CHARITY	7	common	noun	a foundation created to promote the public good (not for assistance to any particular individuals)	0	charity	noun.group	08423576-n
CHARITY	7	common	noun	pinnate-leaved European perennial having bright blue or white flowers	0	charity	noun.plant	12830386-n
CHARITYCASE	11	common	noun	a case for a welfare worker	1	charity case	noun.person	10793468-n
CHARITYSHOT	11	common	noun	an unhindered basketball shot from the foul line; given to penalize the other team for committing a foul	1	charity shot	noun.act	00111784-n
CHARITYTHROW	12	common	noun	an unhindered basketball shot from the foul line; given to penalize the other team for committing a foul	0	charity throw	noun.act	00111784-n
CHARITYTOSS	11	common	noun	an unhindered basketball shot from the foul line; given to penalize the other team for committing a foul	0	charity toss	noun.act	00111784-n
CHARIVARI	9	common	noun	a noisy mock serenade (made by banging pans and kettles) to a newly married couple	0	charivari	noun.communication	07068162-n
CHARLATAN	9	common	noun	a flamboyant deceiver; one who attracts customers with tricks or jokes	0	charlatan	noun.person	10354495-n
CHARLATANISM	12	common	noun	the dishonesty of a charlatan	0	charlatanism	noun.act	00751649-n
CHARLEMAGNE	11	name	noun	king of the Franks and Holy Roman Emperor; conqueror of the Lombards and Saxons (742-814)	0	Charlemagne	noun.person	10911733-n
CHARLEROI	9	name	noun	city in southwestern Belgium; center of an industrial region	0	Charleroi	noun.location	08870356-n
CHARLES	7	name	noun	a river in eastern Massachusetts that empties into Boston Harbor and that separates Cambridge from Boston	0	Charles	noun.object	09264943-n
CHARLES	7	name	noun	king of the Franks and Holy Roman Emperor; conqueror of the Lombards and Saxons (742-814)	0	Charles	noun.person	10911733-n
CHARLES	7	name	noun	French physicist and author of Charles's law which anticipated Gay-Lussac's law (1746-1823)	1	Charles	noun.person	10911970-n
CHARLES	7	name	noun	the eldest son of Elizabeth II and king of the United Kingdom since 2022 (born in 1948)	0	Charles	noun.person	10912168-n
CHARLES	7	name	noun	King of England and Scotland and Ireland during the Restoration (1630-1685)	0	Charles	noun.person	10912538-n
CHARLES	7	name	noun	as Charles II he was Holy Roman Emperor and as Charles I he was king of France (823-877)	1	Charles	noun.person	10912699-n
